instance code,patient num,instance num,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,class
HC_delta_01,1,1,1.1736,1.1738,1.1748,1.1818,1.174,1.173,1.1831,1.1866,1.195,1.1823,1.1765,1.1785,1.1874,1.1796,1.1848,1.1623,1.1756,1.1627,1.1912,1.1823,1.1929,0
HC_delta_02,2,2,1.1679,1.1641,1.1734,1.1815,1.1824,1.1884,1.1854,1.159,1.1756,1.1731,1.1939,1.1768,1.1552,1.1828,1.1746,1.1746,1.1744,1.1744,1.1868,1.1876,1.2023,0
HC_delta_03,3,3,1.1429,1.1264,1.1099,1.1704,1.1496,1.1437,1.1447,1.1544,1.1648,1.1789,1.15,1.1753,1.1602,1.1525,1.1592,1.1616,1.1608,1.1451,1.1485,1.1553,1.1495,0
HC_delta_04,4,4,1.155,1.1566,1.1596,1.178,1.1827,1.1735,1.1721,1.1778,1.1744,1.1828,1.1754,1.1882,1.1725,1.1697,1.1833,1.1735,1.1805,1.1783,1.1682,1.1808,1.1857,0
HC_delta_05,5,5,1.1661,1.1785,1.1902,1.1726,1.1922,1.1946,1.1839,1.1849,1.1971,1.1884,1.1932,1.193,1.2007,1.2092,1.1978,1.1883,1.187,1.2018,1.2152,1.2209,1.1963,0
HC_delta_06,6,6,1.151,1.1511,1.1481,1.1702,1.17,1.162,1.1637,1.1688,1.1328,1.1846,1.1494,1.1621,1.161,1.1755,1.1777,1.1771,1.1782,1.1705,1.1753,1.1744,1.179,0
HC_delta_07,7,7,1.1284,1.1305,1.1201,1.1095,1.1243,1.1491,1.129,1.0998,1.1577,1.1395,1.1654,1.1582,1.1307,1.1486,1.1526,1.1625,1.1478,1.1394,1.1572,1.1479,1.1531,0
HC_delta_08,8,8,1.1486,1.1429,1.1409,1.1591,1.1533,1.1468,1.1502,1.1424,1.1585,1.1842,1.1625,1.1725,1.1694,1.154,1.1573,1.1725,1.1449,1.1645,1.1568,1.1524,1.1443,0
HC_delta_09,9,9,1.1322,1.1566,1.1467,1.1598,1.1734,1.1952,1.1928,1.1809,1.1696,1.176,1.1784,1.1635,1.1791,1.1823,1.1868,1.2015,1.1984,1.1969,1.1922,1.207,1.1966,0
HC_delta_10,10,10,1.1589,1.1553,1.1588,1.1875,1.178,1.1687,1.1766,1.1823,1.1698,1.1718,1.1738,1.1741,1.1696,1.1777,1.1984,1.1823,1.1813,1.1678,1.2006,1.1902,1.1882,0
HC_delta_11,11,11,1.1604,1.1676,1.1665,1.1685,1.1641,1.1677,1.1773,1.1945,1.1822,1.1558,1.1694,1.1749,1.1846,1.1872,1.1845,1.1722,1.1649,1.1828,1.1842,1.1846,1.1825,0
HC_delta_12,12,12,1.1545,1.1613,1.1511,1.1533,1.159,1.1467,1.163,1.1453,1.1618,1.174,1.1774,1.1651,1.1425,1.1698,1.1562,1.1671,1.1787,1.1774,1.176,1.1781,1.188,0
HC_delta_13,13,13,1.1354,1.1168,1.136,1.1745,1.1639,1.1532,1.1599,1.1595,1.2026,1.1932,1.1765,1.1896,1.1598,1.1574,1.1512,1.175,1.1787,1.1899,1.1501,1.1792,1.1841,0
HC_delta_14,14,14,1.1719,1.16,1.1688,1.2133,1.2036,1.1697,1.1748,1.214,1.1962,1.2158,1.1738,1.1696,1.1839,1.1735,1.1954,1.1906,1.1903,1.1697,1.1906,1.1834,1.1795,0
HC_delta_15,15,15,1.1568,1.1565,1.1587,1.1397,1.149,1.1613,1.1494,1.1536,1.1652,1.171,1.1676,1.1503,1.175,1.1357,1.174,1.1555,1.1651,1.157,1.1645,1.166,1.1656,0
HC_delta_16,16,16,1.1533,1.1468,1.1543,1.1608,1.1611,1.1632,1.1459,1.1654,1.1774,1.1828,1.1542,1.1621,1.1707,1.1785,1.1595,1.1382,1.1428,1.1556,1.1715,1.1706,1.153,0
HC_delta_17,17,17,1.1396,1.1555,1.1524,1.1522,1.1604,1.1616,1.1576,1.1511,1.1805,1.1838,1.1602,1.168,1.1724,1.1479,1.1804,1.1492,1.1571,1.1795,1.1767,1.1762,1.1828,0
