instance code,patient num,instance num,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,class
HC_1,1,1,1.6363,1.638,1.6415,1.6313,1.6523,1.6683,1.6558,1.638,1.641,1.6489,1.6435,1.6472,1.6293,1.6501,1.6479,1.6442,1.6614,1.6552,1.6636,1.6629,1.659,0
HC_2,2,2,1.6778,1.6786,1.6705,1.6565,1.6721,1.6807,1.6732,1.6389,1.6596,1.672,1.6713,1.6814,1.6379,1.6868,1.6804,1.6727,1.6771,1.672,1.6751,1.6726,1.6729,0
HC_3,3,3,1.6407,1.646,1.6499,1.6284,1.6667,1.6774,1.6779,1.6579,1.6555,1.6666,1.6794,1.6814,1.6666,1.6848,1.6722,1.6751,1.6756,1.6753,1.6666,1.6619,1.6691,0
HC_4,4,4,1.6411,1.6398,1.6378,1.6366,1.6489,1.6502,1.6497,1.6376,1.6529,1.6587,1.6643,1.6502,1.6317,1.6613,1.6642,1.6599,1.6599,1.6416,1.6472,1.646,1.6455,0
HC_5,5,5,1.6628,1.6752,1.6746,1.6388,1.6759,1.6799,1.6696,1.6437,1.6519,1.6599,1.6747,1.6783,1.6499,1.6873,1.6865,1.6764,1.6773,1.6789,1.6621,1.6515,1.6677,0
HC_6,6,6,1.6398,1.6424,1.6368,1.6518,1.6731,1.6802,1.6761,1.6468,1.6505,1.6568,1.658,1.6632,1.6526,1.6765,1.6747,1.6709,1.6668,1.6713,1.671,1.6617,1.661,0
HC_7,7,7,1.6446,1.6502,1.6483,1.6392,1.6669,1.6701,1.6492,1.6357,1.6451,1.6585,1.6624,1.6495,1.6571,1.6641,1.6458,1.6571,1.6521,1.6763,1.6666,1.6533,1.6694,0
HC_8,8,8,1.6165,1.6328,1.6341,1.624,1.6354,1.6637,1.6497,1.6299,1.6441,1.6517,1.6688,1.6524,1.6437,1.6721,1.6611,1.6627,1.6539,1.6673,1.6737,1.6747,1.6673,0
HC_9,9,9,1.6596,1.6671,1.6606,1.6606,1.6751,1.688,1.6847,1.6696,1.6717,1.675,1.6838,1.6844,1.6699,1.6929,1.6888,1.6762,1.6771,1.6742,1.6869,1.6814,1.6757,0
HC_10,10,10,1.671,1.6706,1.6725,1.6641,1.6712,1.6774,1.6795,1.6686,1.6672,1.6791,1.6781,1.6814,1.6829,1.6829,1.6836,1.6804,1.6712,1.6739,1.6693,1.6598,1.6551,0
HC_11,11,11,1.6507,1.6462,1.6417,1.6349,1.6524,1.6618,1.6388,1.5989,1.6422,1.6291,1.6513,1.6367,1.6199,1.6593,1.6301,1.6344,1.6537,1.664,1.6489,1.6442,1.6542,0
